Carimbo de data/hora,Nome Completo,Nome completo ,Idade  , Gênero  ,E-mail,  Avaliação física realizada?  ,Qual seu principal objetivo com os treinos?,  Qual seu plano atual?  ,  Data de início do plano:  ,  Frequência semanal estimada (vezes por semana),Em qual turno você costuma treinar?,  Quais aulas coletivas você costuma frequentar?  ,Você gostaria de receber uma sugestão de treino orientado com base nas suas respostas?,  Que tipo de treino você costuma fazer por conta própria?  ,Status de envio
14/06/2025 00:31:48,,Manoela Dias Ferraz,18,Feminino,janak63994@forcrack.com,Sim,Ganho de massa muscular,Mensal,12/11/2024,3,Manhã (06h às 12h),LOCAL (Seg 07:00 / Sex 06:15),Sim,Musculação,Enviado
14/06/2025 00:44:45,,Hanaly Almeida Santos,27,Feminino,hanafi7617@uorak.com,Sim,Perda de gordura corporal,Anual,07/08/2023,4,Noite (17h às 22h),"ABDOMINAL (Seg 19:30 / Qua 07:45 e 19:30), BIKE INDOOR (Seg, Qua, Qui – 18:00 ou 19:00 / Ter – 19:00), MUAY THAI (Ter, Qui, Sex – 20:00 / Sex – 18:00)",Sim,"Cardio (esteira, bike, escada)",Enviado
14/06/2025 16:49:28,,Miguel,24,Masculino,migueldesantanadas@gmail.com,Não,Ganho de massa muscular,Anual,01/06/2025,5,Noite (17h às 22h),"MUAY THAI (Ter, Qui, Sex – 20:00 / Sex – 18:00), JIU-JITSU (Seg, Qua, Sex – 20:00)",Sim,"Cardio (esteira, bike, escada), Treino livre com peso do corpo",Enviado
15/06/2025 14:40:55,,Rafaela da Cruz,22,Feminino,duardaoliveira@moura.com,Sim,Ganho de massa muscular,Anual,16/02/2023,4,Manhã (06h às 12h),"GAP (Qua 06:15), HIIT (Seg 07:45 e 19:00 / Qua 19:00 / Sex 07:45)",Sim,"Cardio (esteira, bike, escada), Funcional, Treino livre com peso do corpo",Enviado
15/06/2025 14:42:48,, Kaique Silveira,18,Masculino,kaique@bol.com.br,Sim,Perda de gordura corporal,Anual,15/06/2025,4,Tarde (12h às 17h),"MUAY THAI (Ter, Qui, Sex – 20:00 / Sex – 18:00)",Sim,"Musculação, Funcional, Alongamento, Personal / Treino individual",Enviado
14/06/2025 00:31:48,,Camila Cardoso,50,Feminino,camilacardoso37@exemplo.com,Sim,Ganho de massa muscular,Octomestral,06/12/2024,5,Noite (17h às 22h),"ALONGAMENTO (Seg, Qua, Sex – 08:30)",Sim,"Personal / Treino individual, Funcional",Enviado
14/06/2025 00:32:48,,Renata Lima,48,Feminino,renatalima10@exemplo.com,Sim,Perda de gordura corporal,Mensal,06/12/2024,6,Noite (17h às 22h),"LOCAL (Seg 07:00 / Sex 06:15), GLÚTEO (Ter e Qui – 18:00)",Sim,Personal / Treino individual,Enviado
14/06/2025 00:33:48,,Kelly Machado,36,Feminino,kellymachado34@exemplo.com,Sim,Ganho de massa muscular,Anual,10/12/2024,6,Noite (17h às 22h),"JIU-JITSU (Seg, Qua, Sex – 20:00), STEP (Seg 06:15 / Sex 07:00), JUMP (Qua 07:00)",Sim,"Cardio (esteira, bike, escada), Musculação",Enviado
14/06/2025 00:34:48,,Cristiane Moura,41,Feminino,cristianemoura62@exemplo.com,Sim,Perda de gordura corporal,Mensal,01/12/2024,3,Noite (17h às 22h),GAP (Qua 06:15),Sim,"Funcional, Musculação",Enviado
14/06/2025 00:35:48,,Bianca Duarte,39,Feminino,biancaduarte30@exemplo.com,Sim,Manutenção / condicionamento físico,Octomestral,02/12/2024,6,Noite (17h às 22h),"HIIT (Seg 07:45 e 19:00 / Qua 19:00 / Sex 07:45), JIU-JITSU (Seg, Qua, Sex – 20:00)",Sim,"Personal / Treino individual, Cardio (esteira, bike, escada)",Enviado
